window_id,window_start,window_end,cryptocurrency,tweet_count,synthetic_count,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,mean_sentiment_score,sentiment_std,sentiment_intensity,mean_sentiment_confidence,dominant_label,regime
ETH_20221130T110500Z,2022-11-30 11:05:00+00:00,2022-11-30 11:10:00+00:00,ETH,67,0,4,62,1,0.05970149253731343,0.9253731343283582,0.014925373134328358,0.04597709198663039,0.22912672380365898,0.08557689018936744,0.9142376744925086,neutral,neutral
ETH_20221130T111000Z,2022-11-30 11:10:00+00:00,2022-11-30 11:15:00+00:00,ETH,54,0,2,50,2,0.037037037037037035,0.9259259259259259,0.037037037037037035,0.005439122526527003,0.23917648772539477,0.09123364386700646,0.9065465640138697,neutral,neutral
ETH_20221130T111500Z,2022-11-30 11:15:00+00:00,2022-11-30 11:20:00+00:00,ETH,62,0,0,61,1,0.0,0.9838709677419355,0.016129032258064516,0.011060576044744062,0.13298680643021696,0.06730684091246897,0.884930661609096,neutral,neutral
ETH_20221130T112000Z,2022-11-30 11:20:00+00:00,2022-11-30 11:25:00+00:00,ETH,87,0,7,78,2,0.08045977011494253,0.896551724137931,0.022988505747126436,0.0590032378918138,0.24711073626996427,0.10630094268541226,0.9020787484344395,neutral,neutral
ETH_20221130T112500Z,2022-11-30 11:25:00+00:00,2022-11-30 11:30:00+00:00,ETH,58,0,2,54,2,0.034482758620689655,0.9310344827586207,0.034482758620689655,0.002165585659958165,0.182896501095527,0.07325336186151052,0.8957017156584509,neutral,neutral
ETH_20221130T113000Z,2022-11-30 11:30:00+00:00,2022-11-30 11:35:00+00:00,ETH,82,0,4,76,2,0.04878048780487805,0.926829268292683,0.024390243902439025,0.0380863337777555,0.21339610113297175,0.08753390082090003,0.9007321617952208,neutral,neutral
ETH_20221130T113500Z,2022-11-30 11:35:00+00:00,2022-11-30 11:40:00+00:00,ETH,65,0,2,62,1,0.03076923076923077,0.9538461538461539,0.015384615384615385,0.020363363766899477,0.1997307209405491,0.07296358252374026,0.9097890771352328,neutral,neutral
ETH_20221130T114000Z,2022-11-30 11:40:00+00:00,2022-11-30 11:45:00+00:00,ETH,69,0,5,64,0,0.07246376811594203,0.927536231884058,0.0,0.059798377336583275,0.19044294550095073,0.08974691148361434,0.8807818932809691,neutral,neutral
ETH_20221130T114500Z,2022-11-30 11:45:00+00:00,2022-11-30 11:50:00+00:00,ETH,85,0,3,80,2,0.03529411764705882,0.9411764705882353,0.023529411764705882,0.030047447990406963,0.20952887794877284,0.08635443739373894,0.9032245628974017,neutral,neutral
ETH_20221130T115000Z,2022-11-30 11:50:00+00:00,2022-11-30 11:55:00+00:00,ETH,43,0,0,42,1,0.0,0.9767441860465116,0.023255813953488372,0.012093821973648182,0.15230832120060106,0.07320288269845553,0.8837893854740054,neutral,neutral
